query;driver;collectionSize;singleCollectionSegmentCount;pairCollectionSegmentCount;connectionSegmentCount;multiQueryCount;rootIdFilterCount;rootValueInListFilterCount;rootEqualityFilterCount;rootNumberRangeFilterCount;nestedIdFilterCount;nestedValueInListFilterCount;nestedEqualityFilterCount;nestedNumberRangeFilterCount;firstFilterDepth;onlyResultFraction;dynamicFilterFraction;dynamicResultFraction;phase;iteration;duration
users '_id' = 052a44f6-127f-4e5a-800b-c0be1df5603e [name, age, _id].children '_id' = 75d3303f-a914-4f22-bc8a-3659093c9ae4 .children_owns_pets pets  '_id' = bf67a780-fcfe-4688-9ffa-7a71f713cca9 [since, nickname] [name, age, _id], limit: null;postgres;100;0;1;1;2;1;0;0;0;3;0;0;0;0;0.75;0.0;0.5;build;1;0s
users '_id' = 6a8e7c50-4f0f-4e8e-9799-339906420a92 .children '_id' = 098b474c-baa2-45ca-b602-4beebb8cdeb9 .children_owns_pets pets  '_id' = 9e6c4979-ec7e-4d22-8006-294fb39e9f7e  .pets_child '_id' = b682b67c-8eca-4a3b-bdd8-56272cc85798 , limit: null;postgres;100;1;1;1;3;2;0;0;0;3;0;0;0;0;0.0;0.0;1.0;build;1;0s
users '_id' = 42befc28-c169-41eb-825b-f0e6bcdde0e1 [name, age, _id].children '_id' = c76096f3-5787-42e5-a64a-b5b229629f37 [name, age, _id].children_owns_pets pets  '_id' = e6deac59-17f7-4c15-972b-9196261599d9  .pets_child '_id' = d97bedab-a149-4ea7-b01e-4c291220fd06 .pets_grand_child '_id' = 97c1bfa9-a8a6-4869-bfc2-b75d2695f09a , limit: null;postgres;100;0;2;1;3;2;0;0;0;4;0;0;0;0;0.3333333333333333;0.0;0.6666666666666666;build;1;0s
users '_id' = 4ebb1990-c2e7-4aed-aa2c-c917b837935a [name, age, _id].children '_id' = d5773f46-2729-46f4-bd56-f2b38d038768 .grand_children '_id' = 20718fc5-3738-44c8-b1fb-2d101141e971 .grand_children_owns_pets pets  '_id' = e6deac59-17f7-4c15-972b-9196261599d9 [since, nickname] [name, age, _id], limit: null;postgres;100;1;1;1;2;2;0;0;0;3;0;0;0;0;0.6;0.0;0.6;build;1;0s
users '_id' = 3f54775a-80b9-4ffc-a5fb-6765726235bb .children '_id' = 37d44753-f4e6-4b21-b022-a407932bb430 .grand_children '_id' = ea0f7e10-756c-423d-923c-c4fafc9c8edf [name, age, _id].grand_children_owns_pets pets  '_id' = a1d192df-46ce-47b1-bcce-cfa9fb59ebaf [since, nickname] [name, age, _id].pets_child '_id' = a66be229-d68f-47e9-af01-7b8d56c943af , limit: null;postgres;100;2;1;1;3;3;0;0;0;3;0;0;0;0;0.5;0.0;0.6666666666666666;build;1;0s
users '_id' = bc7d2f4f-0f89-4ede-bbca-e3ddec782c7a .children '_id' = f840657f-feaf-4fd1-b3fb-bdbb62a174a3 .grand_children '_id' = 8f9e2568-605c-4907-b2f9-610efa664ed0 .grand_children_owns_pets pets  '_id' = 62ce82cb-6319-4b2a-bdff-0737596ea7ae  .pets_child '_id' = 6a4b8b4d-1ae1-45a9-81a2-1194aaf70bae [name, age, _id].pets_grand_child '_id' = b77303f5-f6c3-4dd3-958c-17b136fa48b3 , limit: null;postgres;100;1;2;1;3;3;0;0;0;4;0;0;0;0;0.14285714285714285;0.0;1.0;build;1;0s
users '_id' = 5af6f297-6dfb-4614-83f3-389d6a262a2d .children '_id' = b4f07aa2-dcd0-4de6-aec8-79642680c817 [name, age, _id].grand_children '_id' = 4da13f97-2077-4a64-a8eb-917bc46a9c3e .grand2_children '_id' = bd068246-c922-443d-88f4-5b67a4064d80 .grand2_children_owns_pets pets  '_id' = c631ea86-b422-490e-95e0-8687ba0aac91  , limit: null;postgres;100;0;2;1;3;2;0;0;0;4;0;0;0;0;0.16666666666666666;0.0;0.8333333333333334;build;1;0s
users '_id' = 9f032449-d3d3-464c-ac8d-cf1687e2cf3d [name, age, _id].children '_id' = 5a667c81-59b8-47f7-ad70-dcf18d8943b9 .grand_children '_id' = 625bac43-403c-4a45-a1f0-85bfe1cf0127 [name, age, _id].grand2_children '_id' = 8c239c7f-bc95-4d95-9c03-73c2aa6bfee3 .grand2_children_owns_pets pets  '_id' = ed105dec-e67c-4066-8d0a-19c5c7534435  .pets_child '_id' = 98064805-d398-499f-b604-8d1f8d689dc1 , limit: null;postgres;100;1;2;1;4;3;0;0;0;4;0;0;0;0;0.2857142857142857;0.0;0.7142857142857143;build;1;0s
users '_id' = 363bba58-b50f-4953-9bff-c3949e22079b .children '_id' = cfdc41e4-207c-4b7d-8d6b-5fc1653df049 .grand_children '_id' = 9eae2c27-2e0d-4b7c-8d5b-05802bed6f64 .grand2_children '_id' = 3deddaa6-4de2-436e-b296-5b6448a971fc .grand2_children_owns_pets pets  '_id' = 1dc981df-8e10-4752-a709-846c91a088c0  .pets_child '_id' = f3452901-2a09-4eee-9598-2a9f525d6bf3 .pets_grand_child '_id' = 8d2e0761-0761-42d6-9d6a-674acef06605 [name, age, _id], limit: null;postgres;100;0;3;1;4;3;0;0;0;5;0;0;0;0;0.125;0.0;1.0;build;1;0s
users '_id' = 53ec254a-7979-4f31-a745-6e3fb893716f .children '_id' = a05915e1-5564-4ae2-bc06-abdfdf0d1ca4 .grand_children '_id' = 80335e4e-944e-453a-947c-f274f47d28b5 .grand2_children '_id' = cd290c80-d483-432d-9633-79d90f0f6121 .grand3_children '_id' = a5f22846-c3b1-4008-bb2a-bf5316bcc18e [name, age, _id].grand3_children_owns_pets pets  '_id' = 74d5b373-f213-4bd9-bb5c-a114e64a773d [since, nickname] [name, age, _id], limit: null;postgres;100;1;2;1;3;3;0;0;0;4;0;0;0;0;0.42857142857142855;0.0;0.7142857142857143;build;1;0s
users '_id' = 18a8d1a6-d178-420f-a81e-0d68690cead6 .children '_id' = 47385df1-3e49-4f80-8027-53545342c82b [name, age, _id].grand_children '_id' = 1125da3b-cc12-47b5-b8d0-6725b64977b6 [name, age, _id].grand2_children '_id' = db27856a-bc56-41af-a15b-df8dbc06840c .grand3_children '_id' = 6c7c1e59-3b31-4e40-86d3-ab2b5c03ec64 .grand3_children_owns_pets pets  '_id' = f76bbd6c-ccf9-4c14-a2f0-c16855517233 [since, nickname] [name, age, _id].pets_child '_id' = d42c4256-9acf-4f1d-bd97-4ad659456ca3 , limit: null;postgres;100;2;2;1;4;4;0;0;0;4;0;0;0;0;0.5;0.0;0.625;build;1;0s
users '_id' = bc7d2f4f-0f89-4ede-bbca-e3ddec782c7a .children '_id' = f840657f-feaf-4fd1-b3fb-bdbb62a174a3 .grand_children '_id' = 8f9e2568-605c-4907-b2f9-610efa664ed0 [name, age, _id].grand2_children '_id' = 456ed988-70fc-4848-9af9-c4118664def1 .grand3_children '_id' = 69833dc2-5243-472d-aefc-9fa0c73c7d8e [name, age, _id].grand3_children_owns_pets pets  '_id' = b22f99fa-e665-4fd2-a7fc-e767b201b836  .pets_child '_id' = 9b997566-1c2c-4071-aebe-1c1848442e1e .pets_grand_child '_id' = b0a69b8a-30e8-4a68-8a8b-eba1d32869cd , limit: null;postgres;100;1;3;1;4;4;0;0;0;5;0;0;0;0;0.2222222222222222;0.0;0.7777777777777778;build;1;0s
users '_id' = 9b37fcc1-8cbf-4d82-a879-9d4b4f20889d .children '_id' = 39aeb480-98eb-4ff9-a3ef-6f236d662f98 .grand_children '_id' = 42a20f3f-9391-4160-be39-64803dff46f8 .grand2_children '_id' = bed0bdf4-45d0-4915-ad24-62604c4bbac1 .grand3_children '_id' = 254d0cd6-642e-44d3-a9cf-23d150188a27 .grand4_children '_id' = 72ba02ba-b4d5-4677-987e-05cc2375c836 .grand4_children_owns_pets pets  '_id' = c54ac18d-de90-4657-b68a-6a8cf69a1f5b  , limit: null;postgres;100;0;3;1;4;3;0;0;0;5;0;0;0;0;0.0;0.0;1.0;build;1;0s
users '_id' = 3f1f320d-af7b-4549-9276-a1c7cc90f48a .children '_id' = 264e6602-fe97-4d13-8506-76229a878e58 .grand_children '_id' = 3ebf5e37-06d3-4777-8968-34cf459a2948 .grand2_children '_id' = 49e5121c-2b36-46ea-8a4f-aa62fd791df8 .grand3_children '_id' = 8daf9b6e-0fa0-4eca-ac05-272efd7c90dd .grand4_children '_id' = af00a1e1-a502-40ef-96b2-4f0ad44f6082 .grand4_children_owns_pets pets  '_id' = b1708f8f-1458-47a6-91e7-5ca20e477a67  .pets_child '_id' = 058069a9-81ae-4eb6-9285-1133d981da86 , limit: null;postgres;100;1;3;1;5;4;0;0;0;5;0;0;0;0;0.0;0.0;1.0;build;1;0s
users '_id' = e23f49de-a01a-4b2f-81aa-d5fc2df245ab .children '_id' = 5413b658-1f49-446b-9f29-8beb663b02ff .grand_children '_id' = b08bc72c-fa73-4beb-bb3c-d55c94d7b929 .grand2_children '_id' = 046553bd-20bd-43c2-aef7-aa2687c92778 .grand3_children '_id' = 52c51842-3311-4c6a-99fd-64da9e3aec4d .grand4_children '_id' = 2378f749-c034-4a82-84e4-67bfb764aba5 [name, age, _id].grand4_children_owns_pets pets  '_id' = f76bbd6c-ccf9-4c14-a2f0-c16855517233  .pets_child '_id' = d42c4256-9acf-4f1d-bd97-4ad659456ca3 .pets_grand_child '_id' = ba87fb48-a3dc-432a-9138-f44dca053d0f [name, age, _id], limit: null;postgres;100;0;4;1;5;4;0;0;0;6;0;0;0;0;0.2;0.0;0.9;build;1;0s
users '_id' = 9b37fcc1-8cbf-4d82-a879-9d4b4f20889d .children '_id' = 39aeb480-98eb-4ff9-a3ef-6f236d662f98 .grand_children '_id' = 42a20f3f-9391-4160-be39-64803dff46f8 [name, age, _id].grand2_children '_id' = bed0bdf4-45d0-4915-ad24-62604c4bbac1 [name, age, _id].grand3_children '_id' = 254d0cd6-642e-44d3-a9cf-23d150188a27 .grand4_children '_id' = 72ba02ba-b4d5-4677-987e-05cc2375c836 .grand5_children '_id' = da1ec770-1d3a-49f4-bed1-6e4791a9bf9f [name, age, _id].grand5_children_owns_pets pets  '_id' = f2770217-81dc-4558-986e-53f0f48d69a0  , limit: null;postgres;100;1;3;1;4;4;0;0;0;5;0;0;0;0;0.3333333333333333;0.0;0.6666666666666666;build;1;0s
users '_id' = 052a44f6-127f-4e5a-800b-c0be1df5603e .children '_id' = 75d3303f-a914-4f22-bc8a-3659093c9ae4 .grand_children '_id' = fdf6be31-2cf6-415f-b62b-18a0c1eb7454 .grand2_children '_id' = 691d5050-2cbb-47c8-9aef-aaaf111396c0 [name, age, _id].grand3_children '_id' = f3d7cbc3-ac62-4966-a621-16ace72b42e3 .grand4_children '_id' = 81751ccf-9815-45b3-ae1f-07fa87e7f496 .grand5_children '_id' = a121ffd0-16da-4443-bd8c-08b78dbee82b .grand5_children_owns_pets pets  '_id' = 0c646b5e-4b86-4c1f-8c25-f6bf233bd8da [since, nickname] [name, age, _id].pets_child '_id' = c8f3ab78-f885-42df-b697-ba38896eefd7 , limit: null;postgres;100;2;3;1;5;5;0;0;0;5;0;0;0;0;0.3;0.0;0.8;build;1;0s
users '_id' = 3f1f320d-af7b-4549-9276-a1c7cc90f48a .children '_id' = 264e6602-fe97-4d13-8506-76229a878e58 [name, age, _id].grand_children '_id' = 3ebf5e37-06d3-4777-8968-34cf459a2948 [name, age, _id].grand2_children '_id' = 49e5121c-2b36-46ea-8a4f-aa62fd791df8 [name, age, _id].grand3_children '_id' = 8daf9b6e-0fa0-4eca-ac05-272efd7c90dd [name, age, _id].grand4_children '_id' = af00a1e1-a502-40ef-96b2-4f0ad44f6082 .grand5_children '_id' = 69e7bc50-7de9-4de3-8372-e479c13bb461 .grand5_children_owns_pets pets  '_id' = 7cb6ff61-26e4-43f5-8bb8-89b6652ed8e6  .pets_child '_id' = 00b262ff-0786-421f-885e-ccf2b9fbd280 .pets_grand_child '_id' = c6d47888-af31-4e23-81a4-f785445466bb , limit: null;postgres;100;1;4;1;5;5;0;0;0;6;0;0;0;0;0.36363636363636365;0.0;0.6363636363636364;build;1;0s
pets  .users_owns_pets users   [since, nickname] [name, age, _id], limit: null;postgres;100;0;0;1;1;0;0;0;0;0;0;0;0;2;0.6666666666666666;0.0;0.3333333333333333;build;1;0s
pets '_id' = 695c5c96-23e3-43d7-a317-3097c0bf0c8e .pets_child '_id' = b1713d79-4e57-4f39-8a0e-265fffc5119a .users_owns_pets_child users  '_id' = 5094a4b9-5136-44fb-b17c-8118925139cb [since, nickname] [name, age, _id], limit: null;postgres;100;0;1;1;2;1;0;0;0;3;0;0;0;0;0.5;0.0;0.5;build;1;0s
pets '_id' = 097114ae-02e2-430e-82ef-dc027454c487 [name, age, _id].pets_child '_id' = ac2bffb0-81f7-4f6e-b368-8edcf3e30745 .pets_grand_child '_id' = 21bd5a75-1022-4caf-bdb7-21b06ba0a324 .users_owns_pets_grand_child users  '_id' = bc7d2f4f-0f89-4ede-bbca-e3ddec782c7a  , limit: null;postgres;100;1;1;1;2;2;0;0;0;3;0;0;0;0;0.2;0.0;1.0;build;1;0s
pets '_id' = 59199b8c-d95f-4480-a2bf-946611d7a60c .users_owns_pets users  '_id' = 2174eb67-46bd-4a30-949d-396ff3e0da62 [since, nickname] [name, age, _id].children '_id' = a4985c68-7ce5-48f2-b1ad-0b71118ae712 [name, age, _id], limit: null;postgres;100;1;0;1;2;2;0;0;0;1;0;0;0;0;0.75;0.0;0.25;build;1;0s
pets '_id' = beedcca3-b1bb-40da-bbb0-e015d6af95df .pets_child '_id' = 4c0e355b-f816-426a-af4e-ecfe781adbad .users_owns_pets_child users  '_id' = af708e46-eb0c-467e-9cea-9a03f1dfe673  .children '_id' = 78bbbcec-cea1-402d-8dc1-4b987ec641e1 , limit: null;postgres;100;1;1;1;3;2;0;0;0;3;0;0;0;0;0.0;0.0;1.0;build;1;0s
pets '_id' = b1708f8f-1458-47a6-91e7-5ca20e477a67 .pets_child '_id' = 058069a9-81ae-4eb6-9285-1133d981da86 [name, age, _id].pets_grand_child '_id' = 264aa462-2c48-445b-bc33-0e361172c79f [name, age, _id].users_owns_pets_grand_child users  '_id' = e58db4ee-5029-471d-bbd4-b74e853ecc42 [since, nickname] [name, age, _id].children '_id' = 47923e18-ef19-4530-9fbd-ff9e6258d64f , limit: null;postgres;100;2;1;1;3;3;0;0;0;3;0;0;0;0;0.6666666666666666;0.0;0.6666666666666666;build;1;0s
pets '_id' = 695c5c96-23e3-43d7-a317-3097c0bf0c8e .users_owns_pets users  '_id' = 8d251969-2c6c-4c5e-ade7-487118db57c1 [since, nickname] [name, age, _id].children '_id' = 7535f774-529e-49fb-b645-cd873c261246 .grand_children '_id' = 16eb64a7-cb97-4f94-838a-b3b549f5c945 , limit: null;postgres;100;0;1;1;2;2;0;0;0;2;0;0;0;0;0.4;0.0;0.6;build;1;0s
pets '_id' = 546ddde9-b683-4200-bd8a-b3f2ef1a7787 [name, age, _id].pets_child '_id' = 376e2340-0f48-4554-8195-00475e07747f [name, age, _id].users_owns_pets_child users  '_id' = 818cef31-118b-4265-a3b9-a59233dba630  .children '_id' = 7d5ec4a8-dc51-4581-b9b4-a7577bf504c4 .grand_children '_id' = f917fab1-c8b2-4f5d-b372-e2a09a5d02f7 , limit: null;postgres;100;0;2;1;3;2;0;0;0;4;0;0;0;0;0.3333333333333333;0.0;1.0;build;1;0s
pets '_id' = 0db71854-f282-4c6c-81f4-552559be4811 .pets_child '_id' = 1e061cf6-d816-4294-b5a2-a3f359368ad6 .pets_grand_child '_id' = 360e4db7-6601-4b81-8c5f-08062dd6c9fd .users_owns_pets_grand_child users  '_id' = 35f30cea-6d88-4533-985d-6204fd2db17b  .children '_id' = 88478bd9-a61e-4aa8-af67-cf604696d5c3 [name, age, _id].grand_children '_id' = 90d20eb8-6af6-498b-8704-356658510906 , limit: null;postgres;100;1;2;1;3;3;0;0;0;4;0;0;0;0;0.14285714285714285;0.0;0.8571428571428571;build;1;0s
pets '_id' = 5f556f12-0aaa-4ecf-9f5f-4adf68667b63 .users_owns_pets users  '_id' = b38f69e6-d664-4e81-a456-a0baa71ee970  .children '_id' = 5f892858-4548-458e-bbe2-faae1ba9a072 .grand_children '_id' = 07a0dc4b-03c6-409f-8e75-efd85d773a20 .grand2_children '_id' = 5451f5c5-f248-490d-9e37-3832acb0b8cc [name, age, _id], limit: null;postgres;100;1;1;1;3;3;0;0;0;2;0;0;0;0;0.16666666666666666;0.0;0.8333333333333334;build;1;0s
pets '_id' = 95c4e1a6-271f-492e-aa2e-ff93262568ba .pets_child '_id' = 2f9a3d3c-8b89-449c-90c2-3d92f50b4348 [name, age, _id].users_owns_pets_child users  '_id' = 787274dc-571d-4ad2-a789-9df94dde3c20  .children '_id' = 6ebdd9ed-031d-4029-813d-259b943be38d .grand_children '_id' = 535fb704-f80a-4828-942c-6a5bd5b296d0 .grand2_children '_id' = 5f5350b8-5d19-4180-bc51-ef776c0349fb , limit: null;postgres;100;1;2;1;4;3;0;0;0;4;0;0;0;0;0.14285714285714285;0.0;1.0;build;1;0s
pets '_id' = fa5f9f94-f7bc-4a35-ad54-cfb8db45106e .pets_child '_id' = 0a972b6c-b948-4542-abee-71aa15a17d76 [name, age, _id].pets_grand_child '_id' = f4a2914e-5738-4250-81c2-984019427cbe [name, age, _id].users_owns_pets_grand_child users  '_id' = 663a3239-7210-4885-81e8-81979c27eaf3  .children '_id' = 230fc918-fa89-4e44-b6ee-5a105230402b .grand_children '_id' = 25c949a2-012c-463e-8f6a-2a5488e3d7c4 [name, age, _id].grand2_children '_id' = 891a5bc2-6a1d-4215-84cc-da1178192e1e [name, age, _id], limit: null;postgres;100;2;2;1;4;4;0;0;0;4;0;0;0;0;0.5;0.0;0.75;build;1;0s
pets '_id' = 3c2b1942-0e38-45c0-a65e-f7415a7b2d87 [name, age, _id].users_owns_pets users  '_id' = 588423bd-e892-4d8a-8982-081a4a591cb6  .children '_id' = 96981b5a-d258-4556-88cd-e8fa030e6a1a .grand_children '_id' = a913602f-81fe-46c6-a6e2-10a77b46c4c0 .grand2_children '_id' = 4e77134f-640c-45fa-a28f-b57e8c0fc371 .grand3_children '_id' = f21303f5-e506-42e7-a2ae-d19c99f43088 , limit: null;postgres;100;0;2;1;3;3;0;0;0;3;0;0;0;0;0.14285714285714285;0.0;1.0;build;1;0s
pets '_id' = 3c2b1942-0e38-45c0-a65e-f7415a7b2d87 [name, age, _id].pets_child '_id' = d2e958a1-a02f-405b-8342-703107c3070e .users_owns_pets_child users  '_id' = 6cdb3331-4c1c-41dc-827b-eb26edbd46f2  .children '_id' = 2052a0ef-3918-4050-8f2a-b39cc9fac1f7 [name, age, _id].grand_children '_id' = b71930af-7958-431e-9449-3a64cfb3946d .grand2_children '_id' = a20dfa8a-e0d2-472a-8cfb-c285e0f106df [name, age, _id].grand3_children '_id' = 58d45c43-66be-4e2f-8af3-35c5f066c02a , limit: null;postgres;100;0;3;1;4;3;0;0;0;5;0;0;0;0;0.375;0.0;0.75;build;1;0s
pets '_id' = 8e920d62-7e80-4502-9010-873a0d5dcf2c .pets_child '_id' = 16eb737d-e09f-4ad9-b228-6b7529543876 [name, age, _id].pets_grand_child '_id' = 3eb82b57-84fa-4748-b842-637b24b1fead .users_owns_pets_grand_child users  '_id' = 588423bd-e892-4d8a-8982-081a4a591cb6  .children '_id' = 96981b5a-d258-4556-88cd-e8fa030e6a1a [name, age, _id].grand_children '_id' = a913602f-81fe-46c6-a6e2-10a77b46c4c0 .grand2_children '_id' = 4e77134f-640c-45fa-a28f-b57e8c0fc371 .grand3_children '_id' = f21303f5-e506-42e7-a2ae-d19c99f43088 [name, age, _id], limit: null;postgres;100;1;3;1;4;4;0;0;0;5;0;0;0;0;0.3333333333333333;0.0;0.7777777777777778;build;1;0s
pets '_id' = 67aae40c-be5c-4080-898d-b989c73b3bd6 .users_owns_pets users  '_id' = c00f80b7-8f16-4a69-8057-7c8598cd23ae  .children '_id' = b6e46503-fb3e-4286-99a7-2b3aa88ceeda .grand_children '_id' = 40525eb2-3e0d-4514-836f-741dd661ab60 .grand2_children '_id' = 1a190680-3429-4c77-8e67-ea6922c953c3 .grand3_children '_id' = fbc65f4a-4df4-409e-bbd0-2accb8ca5d3c .grand4_children '_id' = 3bd2e4b8-0471-49fc-bc24-7a12ad7f99b9 [name, age, _id], limit: null;postgres;100;1;2;1;4;4;0;0;0;3;0;0;0;0;0.125;0.0;0.875;build;1;0s
pets '_id' = 4d575c4f-db7c-455e-ba52-4f88130edc47 .pets_child '_id' = 1fcd534a-f1ed-4e38-91aa-0078cb528f0d [name, age, _id].users_owns_pets_child users  '_id' = 14aa647a-3c09-4556-af00-8c537141133e  .children '_id' = 30ef0727-c5ce-427b-9fd1-6cd2981c8c4f [name, age, _id].grand_children '_id' = f1f5dc05-b6a6-4b7d-ba18-df5164b1291b .grand2_children '_id' = 4316c3b3-afe5-4bdc-8ef8-2da4e3fee260 .grand3_children '_id' = e4927917-2ab0-4f7d-825d-23031d39d5f9 [name, age, _id].grand4_children '_id' = a917e7f2-ad2c-4166-953b-6fee09c81f18 [name, age, _id], limit: null;postgres;100;1;3;1;5;4;0;0;0;5;0;0;0;0;0.4444444444444444;0.0;0.6666666666666666;build;1;0s
pets '_id' = 2b45b610-1343-42bd-a857-3f4396cbbb24 [name, age, _id].pets_child '_id' = 8365b375-6cee-4ff5-b9ff-5cf77cf14a10 [name, age, _id].pets_grand_child '_id' = d9ea6e17-817a-4146-a2e1-a13cbd273331 .users_owns_pets_grand_child users  '_id' = 14aa647a-3c09-4556-af00-8c537141133e  .children '_id' = 30ef0727-c5ce-427b-9fd1-6cd2981c8c4f .grand_children '_id' = f1f5dc05-b6a6-4b7d-ba18-df5164b1291b [name, age, _id].grand2_children '_id' = 4316c3b3-afe5-4bdc-8ef8-2da4e3fee260 [name, age, _id].grand3_children '_id' = e4927917-2ab0-4f7d-825d-23031d39d5f9 .grand4_children '_id' = a917e7f2-ad2c-4166-953b-6fee09c81f18 [name, age, _id], limit: null;postgres;100;2;3;1;5;5;0;0;0;5;0;0;0;0;0.5;0.0;0.7;build;1;0s
pets '_id' = 7d4278db-5154-49c9-bd89-b36979e28c4a [name, age, _id].users_owns_pets users  '_id' = 4ebb1990-c2e7-4aed-aa2c-c917b837935a  .children '_id' = d5773f46-2729-46f4-bd56-f2b38d038768 .grand_children '_id' = 20718fc5-3738-44c8-b1fb-2d101141e971 .grand2_children '_id' = fc852c5f-a7b8-4c3f-9713-ac889c9d9591 .grand3_children '_id' = 59188125-1a90-4444-8f6c-63775c70a90e .grand4_children '_id' = f742a1e6-2390-40d7-aaf2-7d3988a9306a [name, age, _id].grand5_children '_id' = 240a80ae-e5fd-4a14-9d23-19e0c8a3ded9 , limit: null;postgres;100;0;3;1;4;4;0;0;0;4;0;0;0;0;0.2222222222222222;0.0;0.8888888888888888;build;1;0s
